code,avgTempF,sunDaysPerYear,snowDaysPerYear,humidityAvgPct
AK,26,152,53,77
AL,63,199,3,72
AR,60,217,5,70
AZ,65,299,2,38
CA,59,258,1,61
CO,50,245,33,54
CT,50,197,25,69
DE,55,201,14,68
FL,71,237,0,76
GA,63,218,3,70
HI,77,267,0,63
IA,49,201,26,71
ID,47,206,28,62
IL,52,197,21,71
IN,52,189,23,72
KS,55,215,16,66
KY,56,197,15,70
LA,67,219,1,75
MA,49,199,24,68
MD,55,207,14,67
ME,44,183,38,72
MI,46,185,37,73
MN,43,198,40,72
MO,55,212,15,68
MS,64,213,2,73
MT,43,207,36,61
NC,60,213,6,69
ND,40,199,38,68
NE,50,212,22,68
NH,45,188,36,71
NJ,54,205,17,68
NM,56,278,8,45
NV,50,265,7,40
NY,46,188,28,71
OH,51,183,24,72
OK,61,222,9,65
OR,49,152,6,77
PA,50,192,22,70
RI,50,200,23,69
SC,63,215,4,70
SD,46,207,34,67
TN,59,206,9,70
TX,65,230,2,64
UT,51,222,25,53
VA,57,210,13,68
VT,43,185,38,72
WA,49,137,7,78
WI,44,193,35,73
WV,51,181,27,72
WY,46,218,41,56
