code,politicsLean,urbanizationPct,outdoorRecRating,schoolRating
AK,8,64,68,61
AL,15,59,16,14
AR,16,56,20,25
AZ,5,89,63,39
CA,-13,95,78,50
CO,1,86,46,73
CT,-6,88,6,61
DE,-6,83,3,45
FL,3,92,16,59
GA,3,75,26,41
HI,-14,92,23,36
IA,7,64,4,68
ID,19,71,49,73
IL,-7,89,6,55
IN,11,73,7,66
KS,11,74,10,59
KY,16,59,19,32
LA,11,73,14,9
MA,-15,92,19,100
MD,-14,87,20,68
ME,1,39,6,61
MI,0,75,16,52
MN,-1,73,10,82
MO,9,70,17,50
MS,9,50,16,14
MT,11,56,36,59
NC,3,67,26,50
ND,20,65,10,68
NE,14,73,6,70
NH,1,60,13,73
NJ,-7,95,40,86
NM,2,74,47,0
NV,-1,94,55,30
NY,-10,88,45,52
OH,5,78,15,55
OK,20,67,7,20
OR,-5,81,44,55
PA,2,79,39,57
RI,-12,91,4,52
SC,8,67,22,34
SD,14,58,13,64
TN,14,67,25,36
TX,5,84,24,45
UT,14,91,64,66
VA,2,76,41,73
VT,-15,35,5,73
WA,-5,84,44,61
WI,2,71,12,61
WV,22,49,12,9
WY,25,64,38,66
