code,cookPVI,publicLandPct,npsUnits,naepMath8,naepRead8
AK,R+8,60.9,17,276,261
AL,R+15,2.9,8,262,254
AR,R+16,6.0,9,266,255
AZ,R+5,38.5,22,268,259
CA,D+13,45.4,28,270,262
CO,R+1,35.9,13,277,265
CT,D+6,0.4,3,272,265
DE,D+6,2.6,1,269,261
FL,R+3,3.0,8,271,265
GA,R+3,1.6,14,269,259
HI,D+14,19.4,6,266,260
IA,R+7,0.3,2,276,264
ID,R+19,61.6,6,278,264
IL,D+7,1.1,3,271,263
IN,R+11,2.0,3,278,261
KS,R+11,1.3,5,274,262
KY,R+16,4.4,9,267,257
LA,R+11,2.8,7,261,253
MA,D+15,2.0,10,284,270
MD,D+14,3.6,10,275,265
ME,R+1,1.1,3,274,263
MI,EVEN,3.1,8,271,262
MN,D+1,4.4,4,280,266
MO,R+9,3.9,8,271,261
MS,R+9,2.4,8,260,256
MT,R+11,28.9,10,274,262
NC,R+3,4.2,13,271,261
ND,R+20,3.9,4,277,263
NE,R+14,1.4,3,277,264
NH,R+1,12.5,3,276,266
NJ,D+7,3.5,21,280,268
NM,R+2,34.7,14,258,252
NV,D+1,80.1,3,266,257
NY,D+10,0.8,25,269,264
OH,R+5,1.1,8,272,262
OK,R+20,2.0,3,265,254
OR,D+5,52.9,6,271,263
PA,R+2,2.0,21,272,263
RI,D+12,0.4,2,270,263
SC,R+8,3.1,11,267,258
SD,R+14,5.8,5,275,263
TN,R+14,5.2,12,268,258
TX,R+5,1.8,13,270,260
UT,R+14,63.1,14,277,262
VA,R+2,7.9,20,277,265
VT,D+15,5.4,1,276,266
WA,D+5,27.8,15,273,264
WI,R+2,5.2,5,274,263
WV,R+22,7.1,4,261,253
WY,R+25,46.4,5,276,263
